iter	Passed	Remaining
0	313	156490
1	477	118784
2	732	121423
3	1013	125735
4	1354	134107
5	1646	135562
6	2030	143039
7	2305	141775
8	2406	131298
9	2585	126708
10	2741	121893
11	2971	120848
12	3127	117178
13	3310	114936
14	3397	109842
15	3513	106297
16	3666	104158
17	3832	102633
18	3970	100508
19	4152	99667
20	4280	97647
21	4396	95517
22	4514	93621
23	4702	93274
24	4849	92149
25	5011	91360
26	5141	90068
27	5324	89759
28	5442	88389
29	5635	88294
30	5825	88138
31	5962	87200
32	6101	86351
33	6305	86422
34	6465	85898
35	6705	86421
36	6900	86352
37	7052	85742
38	7238	85563
39	7382	84903
40	7618	85291
41	7866	85779
42	8139	86505
43	8265	85658
44	8416	85104
45	8585	84737
46	8715	84001
47	8843	83273
48	8991	82758
49	9150	82353
50	9263	81556
51	9379	80806
52	9490	80041
53	9631	79548
54	9810	79377
55	9930	78735
56	10054	78139
57	10184	77610
58	10364	77467
59	10746	78811
60	10927	78640
61	11102	78434
62	11253	78059
63	11375	77494
64	11530	77168
65	11645	76574
66	11740	75877
67	11869	75407
68	12008	75006
69	12134	74539
70	12285	74230
71	12470	74127
72	12548	73400
73	12686	73030
74	12819	72643
75	12944	72215
76	13114	72043
77	13232	71589
78	13342	71101
79	13497	70861
80	13634	70527
81	13797	70332
82	13941	70044
83	14124	69948
84	14297	69803
85	14433	69483
86	14591	69266
87	14732	68972
88	14901	68814
89	15084	68716
90	15302	68779
91	15425	68406
92	15504	67854
93	15730	67942
94	16041	68386
95	16304	68615
96	16464	68405
97	16725	68608
98	16938	68611
99	17128	68513
100	17222	68035
101	17351	67703
102	17532	67576
103	17677	67312
104	17813	67010
105	17990	66870
106	18122	66563
107	18249	66239
108	18375	65915
109	18491	65560
110	18599	65181
111	18678	64707
112	18753	64225
113	18857	63851
114	18956	63464
115	19130	63327
116	19283	63126
117	19487	63085
118	19611	62789
119	19781	62642
120	19912	62370
121	20058	62149
122	20157	61782
123	20289	61523
124	20446	61338
125	20595	61132
126	20750	60945
127	20887	60703
128	21011	60428
129	21128	60134
130	21245	59844
131	21396	59649
132	21541	59440
133	21664	59174
134	21826	59011
135	22028	58959
136	22144	58675
137	22363	58664
138	22549	58562
139	22696	58361
140	22860	58204
141	23066	58152
142	23264	58080
143	23391	57828
144	23588	57751
145	23711	57493
146	23882	57350
147	24007	57099
148	24112	56802
149	24301	56703
150	24433	56471
151	24607	56337
152	24749	56130
153	24895	55933
154	25039	55734
155	25161	55485
156	25310	55295
157	25491	55177
158	25596	54896
159	25736	54689
160	25832	54393
161	25979	54205
162	26052	53863
163	26157	53591
164	26294	53384
165	26388	53095
166	26492	52826
167	26598	52562
168	26683	52261
169	26772	51969
170	26916	51786
171	27049	51582
172	27151	51320
173	27300	51148
174	27437	50955
175	27531	50682
176	27689	50529
177	27891	50456
178	28008	50226
179	28132	50013
180	28299	49875
181	28444	49700
182	28598	49539
183	28725	49333
184	28895	49199
185	28993	48945
186	29143	48779
187	29266	48570
188	29406	48387
189	29558	48226
190	29712	48068
191	29860	47901
192	29977	47684
193	30094	47468
194	30243	47303
195	30414	47173
